Skills,Interests,Recommended_Career,source,Education,CGPA,career_label
python;data analysis;machine learning,technology;data science,Data Scientist,ai_dataset,Not specified,Not specified,95
java;system design;cloud computing,software development;ai,Software Engineer,ai_dataset,Not specified,Not specified,304
graphic design;ui/ux;adobe creative suite,arts;digital media,UX Designer,ai_dataset,Not specified,Not specified,357
python;deep learning;statistics,healthcare;ai,AI Researcher,ai_dataset,Not specified,Not specified,0
project management;communication;agile,business;management,Project Manager,ai_dataset,Not specified,Not specified,250
c++;embedded systems;iot,electronics;automation,Embedded Systems Engineer,ai_dataset,Not specified,Not specified,120
sql;data warehousing;etl,finance;analytics,Data Analyst,ai_dataset,Not specified,Not specified,91
content writing;seo;social media,marketing;communications,Digital Marketer,ai_dataset,Not specified,Not specified,111
python;natural language processing;machine learning,linguistics;technology,NLP Engineer,ai_dataset,Not specified,Not specified,218
financial analysis;excel;econometrics,finance;data analysis,Financial Analyst,ai_dataset,Not specified,Not specified,131
research;statistical analysis;python,academia;biotech,Research Scientist,ai_dataset,Not specified,Not specified,271
html;css;javascript,web development;design,Front-end Developer,ai_dataset,Not specified,Not specified,135
java;algorithms;data structures,software engineering;coding,Software Developer,ai_dataset,Not specified,Not specified,302
data visualization;python;r,data analysis;statistics,Data Analyst,ai_dataset,Not specified,Not specified,91
machine learning;big data;python,technology;innovation,Machine Learning Engineer,ai_dataset,Not specified,Not specified,191
digital marketing;content creation;seo,marketing;social media,Digital Marketer,ai_dataset,Not specified,Not specified,111
python;data mining;statistics,data science;finance,Data Scientist,ai_dataset,Not specified,Not specified,95
c#;.net;software design,technology;gaming,Software Developer,ai_dataset,Not specified,Not specified,302
project management;risk analysis;negotiation,business;management,Project Manager,ai_dataset,Not specified,Not specified,250
user research;ux design;prototyping,design;technology,UX Designer,ai_dataset,Not specified,Not specified,357
python;data analysis;sql,finance;analytics,Data Analyst,ai_dataset,Not specified,Not specified,91
marketing strategy;digital marketing;crm,marketing;business,Marketing Manager,ai_dataset,Not specified,Not specified,196
javascript;react;node.js,web development;technology,Full Stack Developer,ai_dataset,Not specified,Not specified,137
data science;machine learning;python,healthcare;ai,AI Specialist,ai_dataset,Not specified,Not specified,1
network security;linux;python,cybersecurity;technology,Cybersecurity Analyst,ai_dataset,Not specified,Not specified,85
python;statistics;data mining,academia;research,Research Analyst,ai_dataset,Not specified,Not specified,268
cloud computing;devops;python,technology;business,DevOps Engineer,ai_dataset,Not specified,Not specified,107
content creation;graphic design;adobe photoshop,digital media;marketing,Graphic Designer,ai_dataset,Not specified,Not specified,146
python;tensorflow;deep learning,technology;research,Deep Learning Engineer,ai_dataset,Not specified,Not specified,101
sql;data warehousing;r,business;analytics,Business Analyst,ai_dataset,Not specified,Not specified,50
java;spring;microservices,software engineering;finance,Backend Developer,ai_dataset,Not specified,Not specified,44
html;css;javascript;ux,web design;technology,Front-end Developer,ai_dataset,Not specified,Not specified,135
machine learning;r;python,biotech;data science,Biostatistician,ai_dataset,Not specified,Not specified,47
digital illustration;adobe illustrator;creativity,arts;design,Graphic Designer,ai_dataset,Not specified,Not specified,146
python;big data;machine learning,finance;technology,Data Engineer,ai_dataset,Not specified,Not specified,92
copywriting;seo;social media,marketing;content,Content Strategist,ai_dataset,Not specified,Not specified,74
python;javascript;data visualization,analytics;business,Data Analyst,ai_dataset,Not specified,Not specified,91
business analysis;excel;sql,business;finance,Business Analyst,ai_dataset,Not specified,Not specified,50
python;automation;data analysis,technology;engineering,Automation Engineer,ai_dataset,Not specified,Not specified,36
graphic design;ux/ui;adobe xd,digital media;design,UX Designer,ai_dataset,Not specified,Not specified,357
python;machine learning;ai,technology;innovation,Machine Learning Engineer,ai_dataset,Not specified,Not specified,191
digital marketing;analytics;seo,marketing;business,Digital Marketer,ai_dataset,Not specified,Not specified,111
python;data analysis;r,finance;data science,Financial Analyst,ai_dataset,Not specified,Not specified,131
content writing;storytelling;seo,media;marketing,Content Strategist,ai_dataset,Not specified,Not specified,74
java;android;ui design,mobile apps;technology,Mobile Developer,ai_dataset,Not specified,Not specified,215
ux research;prototyping;interaction design,design;user experience,UX Researcher,ai_dataset,Not specified,Not specified,358
python;cybersecurity;network security,technology;security,Cybersecurity Specialist,ai_dataset,Not specified,Not specified,86
sql;data analysis;excel,business;analytics,Data Analyst,ai_dataset,Not specified,Not specified,91
cloud computing;python;devops,technology;business,Cloud Engineer,ai_dataset,Not specified,Not specified,68
graphic design;illustration;adobe creative suite,arts;design,Graphic Designer,ai_dataset,Not specified,Not specified,146
java;spring;microservices,software engineering;technology,Backend Developer,ai_dataset,Not specified,Not specified,44
python;machine learning;tensorflow,ai;innovation,Machine Learning Engineer,ai_dataset,Not specified,Not specified,191
digital marketing;seo;content strategy,marketing;social media,Digital Marketer,ai_dataset,Not specified,Not specified,111
sql;data warehousing;etl,finance;data analytics,Data Analyst,ai_dataset,Not specified,Not specified,91
graphic design;illustration;adobe illustrator,arts;design,Graphic Designer,ai_dataset,Not specified,Not specified,146
python;nlp;deep learning,ai;language,NLP Engineer,ai_dataset,Not specified,Not specified,218
research;statistical analysis;r,academia;biotech,Research Scientist,ai_dataset,Not specified,Not specified,271
project management;agile;communication,business;management,Project Manager,ai_dataset,Not specified,Not specified,250
python;data visualization;r,data analysis;statistics,Data Analyst,ai_dataset,Not specified,Not specified,91
java;algorithms;data structures,software development;coding,Software Developer,ai_dataset,Not specified,Not specified,302
digital marketing;seo;content creation,marketing;communications,Digital Marketer,ai_dataset,Not specified,Not specified,111
html;css;javascript,healthcare;ai,AI Researcher,ai_dataset,Not specified,Not specified,0
c++;embedded systems;iot,business;management,Project Manager,ai_dataset,Not specified,Not specified,250
sql;data warehousing;etl,finance;analytics,Embedded Systems Engineer,ai_dataset,Not specified,Not specified,120
javascript;react;node.js,marketing;communications,Data Analyst,ai_dataset,Not specified,Not specified,91
digital marketing;seo;content creation,cybersecurity;technology,Digital Marketer,ai_dataset,Not specified,Not specified,111
project management;agile;communication,academia;research,NLP Engineer,ai_dataset,Not specified,Not specified,218
python;deep learning;statistics,web development;design,Financial Analyst,ai_dataset,Not specified,Not specified,131
financial analysis;excel;econometrics,technology;data science,Research Scientist,ai_dataset,Not specified,Not specified,271
research;statistical analysis;python,software development;ai,Front-end Developer,ai_dataset,Not specified,Not specified,135
cloud computing;devops;python,arts;digital media,Software Developer,ai_dataset,Not specified,Not specified,302
java;algorithms;data structures,healthcare;ai,Data Analyst,ai_dataset,Not specified,Not specified,91
ux research;prototyping;interaction design,business;management,Machine Learning Engineer,ai_dataset,Not specified,Not specified,191
copywriting;seo;social media,finance;analytics,Digital Marketer,ai_dataset,Not specified,Not specified,111
network security;linux;python,marketing;communications,Data Scientist,ai_dataset,Not specified,Not specified,95
c#;.net;software design,cybersecurity;technology,Software Developer,ai_dataset,Not specified,Not specified,302
data visualization;python;r,academia;research,Project Manager,ai_dataset,Not specified,Not specified,250
machine learning;big data;python,web development;design,UX Designer,ai_dataset,Not specified,Not specified,357
python;data analysis;machine learning,technology;data science,Data Analyst,ai_dataset,Not specified,Not specified,91
java;system design;cloud computing,software development;ai,Marketing Manager,ai_dataset,Not specified,Not specified,196
graphic design;ui/ux;adobe creative suite,arts;digital media,Full Stack Developer,ai_dataset,Not specified,Not specified,137
html;css;javascript,healthcare;ai,AI Specialist,ai_dataset,Not specified,Not specified,1
c++;embedded systems;iot,business;management,Cybersecurity Analyst,ai_dataset,Not specified,Not specified,85
sql;data warehousing;etl,finance;analytics,Research Analyst,ai_dataset,Not specified,Not specified,268
javascript;react;node.js,marketing;communications,DevOps Engineer,ai_dataset,Not specified,Not specified,107
digital marketing;seo;content creation,cybersecurity;technology,Graphic Designer,ai_dataset,Not specified,Not specified,146
project management;agile;communication,academia;research,Deep Learning Engineer,ai_dataset,Not specified,Not specified,101
python;deep learning;statistics,web development;design,Business Analyst,ai_dataset,Not specified,Not specified,50
financial analysis;excel;econometrics,technology;data science,Backend Developer,ai_dataset,Not specified,Not specified,44
